GreekToken,ExchangeToken,ExchangeSegMent,Series/InstType,Symbol,Description,ExpiryDate,OptionType,StrikePrice,TickSize,LotSize,TradingSymbol,SymbolWithExpiry
101000087,87,NSEEQ,SG,667RJ30,SDL RJ 6.67% 2030,,XX,0.00,0.01,100,667RJ30,667RJ30
101000089,89,NSEEQ,SG,67TR30,SDL TR 6.7% 2030,,XX,0.00,0.01,100,67TR30,67TR30
101000092,92,NSEEQ,SG,668UP30,SDL UP 6.68% 2030,,XX,0.00,0.01,100,668UP30,668UP30
101000095,95,NSEEQ,SG,676MP33,SDL MP 6.76% 2033,,XX,0.00,0.01,100,676MP33,676MP33
101000100,100,NSEEQ,EQ,ARE&M,AMARA RAJA ENERGY MOB LTD,,XX,0.00,0.05,1,ARE&M,ARE&M
101000104,104,NSEEQ,EQ,SHAREINDIA,SHARE IND. SECURITIES LTD,,XX,0.00,0.01,1,SHAREINDIA,SHAREINDIA
101000110,110,NSEEQ,BL,SHAREINDIA,SHARE IND. SECURITIES LTD,,XX,0.00,0.01,999999999,SHAREINDIA,SHAREINDIA
101000117,117,NSEEQ,SM,OMFURN,OMFURN INDIA LIMITED,,XX,0.00,0.05,1200,OMFURN,OMFURN
101000123,123,NSEEQ,BL,RUSHIL-RE,RUSHIL DECOR RE,,XX,0.00,0.05,999999999,RUSHIL-RE,RUSHIL-RE
101000128,128,NSEEQ,EQ,ROUTE,ROUTE MOBILE LIMITED,,XX,0.00,0.05,1,ROUTE,ROUTE
101000136,136,NSEEQ,EQ,ANDHRSUGAR,ANDHRA SUGARS LTD,,XX,0.00,0.01,1,ANDHRSUGAR,ANDHRSUGAR
101000138,138,NSEEQ,BL,ROUTE,ROUTE MOBILE LIMITED,,XX,0.00,0.05,999999999,ROUTE,ROUTE
101000144,144,NSEEQ,EQ,GODREJAGRO,GODREJ AGROVET LIMITED,,XX,0.00,0.05,1,GODREJAGRO,GODREJAGRO
101000145,145,NSEEQ,BL,SRPL,SHREE RAM PROTEINS LTD.,,XX,0.00,0.01,999999999,SRPL,SRPL
101000147,147,NSEEQ,BL,GODREJAGRO,GODREJ AGROVET LIMITED,,XX,0.00,0.05,999999999,GODREJAGRO,GODREJAGRO
101000149,149,NSEEQ,GB,SGBSEP28VI,2.50%GOLDBONDS2028SR-VI,,XX,0.00,0.01,1,SGBSEP28VI,SGBSEP28VI
101000154,154,NSEEQ,EQ,APCOTEXIND,APCOTEX INDUSTRIES LIMITE,,XX,0.00,0.05,1,APCOTEXIND,APCOTEXIND
101000157,157,NSEEQ,EQ,APOLLOHOSP,APOLLO HOSPITALS ENTER. L,,XX,0.00,0.50,1,APOLLOHOSP,APOLLOHOSP
101000158,158,NSEEQ,SG,67MH28,SDL MH 6.7% 2028,,XX,0.00,0.01,100,67MH28,67MH28
101000161,161,NSEEQ,SG,674UP30,SDL UP 6.74% 2030,,XX,0.00,0.01,100,674UP30,674UP30
101000162,162,NSEEQ,ST,MILTON,MILTON INDUSTRIES LIMITED,,XX,0.00,0.05,4400,MILTON,MILTON
101000163,163,NSEEQ,EQ,APOLLOTYRE,APOLLO TYRES LTD,,XX,0.00,0.05,1,APOLLOTYRE,APOLLOTYRE
101000164,164,NSEEQ,SG,68AS30,SDL AS 6.8% 2030,,XX,0.00,0.01,100,68AS30,68AS30
101000165,165,NSEEQ,SG,674GA30,SDL GA 6.74% 2030,,XX,0.00,0.01,100,674GA30,674GA30
101000166,166,NSEEQ,EQ,ANDHRAPAP,ANDHRA PAPER LIMITED,,XX,0.00,0.01,1,ANDHRAPAP,ANDHRAPAP
101000167,167,NSEEQ,SG,67GJ30,SDL GJ 6.7% 2030,,XX,0.00,0.01,100,67GJ30,67GJ30
101000170,170,NSEEQ,SG,67KA30,SDL KA 6.7% 2030,,XX,0.00,0.01,100,67KA30,67KA30
101000171,171,NSEEQ,SG,672RJ30,SDL RJ 6.72% 2030,,XX,0.00,0.01,100,672RJ30,672RJ30
101000173,173,NSEEQ,SG,673SK30,SDL SK 6.73% 2030,,XX,0.00,0.01,100,673SK30,673SK30
101000179,179,NSEEQ,SG,669TN30,SDL TN 6.69% 2030,,XX,0.00,0.01,100,669TN30,669TN30
101000181,181,NSEEQ,EQ,ARENTERP,RAJDARSHAN INDUSTRIES LTD,,XX,0.00,0.01,1,ARENTERP,ARENTERP
101000182,182,NSEEQ,SG,678KA32,SDL KA 6.78% 2032,,XX,0.00,0.01,100,678KA32,678KA32
101000184,184,NSEEQ,EQ,TCPLPACK,TCPL PACKAGING LIMITED,,XX,0.00,0.10,1,TCPLPACK,TCPLPACK
101000185,185,NSEEQ,SG,678MH32,SDL MH 6.78% 2032,,XX,0.00,0.01,100,678MH32,678MH32
101000186,186,NSEEQ,N5,850NHAI29,8.50% TAX FREE TR I S IIA,,XX,0.00,0.01,1,850NHAI29,850NHAI29
101000188,188,NSEEQ,BL,TCPLPACK,TCPL PACKAGING LIMITED,,XX,0.00,0.10,999999999,TCPLPACK,TCPLPACK
101000192,192,NSEEQ,N6,875NHAI29,8.75% TAX FREE TR I S IIB,,XX,0.00,0.01,1,875NHAI29,875NHAI29
101000193,193,NSEEQ,EQ,ARVIND,ARVIND LIMITED,,XX,0.00,0.05,1,ARVIND,ARVIND
101000199,199,NSEEQ,EQ,MASFIN,MAS FINANCIAL SERV LTD,,XX,0.00,0.05,1,MASFIN,MASFIN
101000201,201,NSEEQ,EQ,UNIDT,UNITED DRILLING TOOLS LTD,,XX,0.00,0.01,1,UNIDT,UNIDT
101000203,203,NSEEQ,EQ,ASHAPURMIN,ASHAPURA MINECHEM LTD,,XX,0.00,0.05,1,ASHAPURMIN,ASHAPURMIN
101000205,205,NSEEQ,BL,UNIDT,UNITED DRILLING TOOLS LTD,,XX,0.00,0.01,999999999,UNIDT,UNIDT
101000206,206,NSEEQ,EQ,ASHIMASYN,ASHIMA LTD,,XX,0.00,0.01,1,ASHIMASYN,ASHIMASYN
101000208,208,NSEEQ,BL,MASFIN,MAS FINANCIAL SERV LTD,,XX,0.00,0.05,999999999,MASFIN,MASFIN
101000210,210,NSEEQ,MF,NMFINQRAG1,NIINTR FUND-QIF SR I-GRW,,XX,0.00,0.01,1,NMFINQRAG1,NMFINQRAG1
101000212,212,NSEEQ,EQ,ASHOKLEY,ASHOK LEYLAND LTD,,XX,0.00,0.01,1,ASHOKLEY,ASHOKLEY
101000219,219,NSEEQ,BL,DEEPAK-RE,DEEPAK FERTILIZERS RE,,XX,0.00,0.05,999999999,DEEPAK-RE,DEEPAK-RE
101000220,220,NSEEQ,EQ,IEX,INDIAN ENERGY EXC LTD,,XX,0.00,0.01,1,IEX,IEX
101000223,223,NSEEQ,BL,IEX,INDIAN ENERGY EXC LTD,,XX,0.00,0.01,999999999,IEX,IEX
101000230,230,NSEEQ,BL,EIH-RE,EIH LIMITED RE,,XX,0.00,0.05,999999999,EIH-RE,EIH-RE
101000235,235,NSEEQ,EQ,AAKASH,AAKASH EXPLORATION SER L,,XX,0.00,0.01,1,AAKASH,AAKASH
101000236,236,NSEEQ,EQ,ASIANPAINT,ASIAN PAINTS LIMITED,,XX,0.00,0.10,1,ASIANPAINT,ASIANPAINT
101000241,241,NSEEQ,BL,AAKASH,AAKASH EXPLORATION SER L,,XX,0.00,0.01,999999999,AAKASH,AAKASH
101000245,245,NSEEQ,EQ,ADL,ARCHIDPLY DECOR LIMITED,,XX,0.00,0.01,1,ADL,ADL
101000246,246,NSEEQ,BL,ADL,ARCHIDPLY DECOR LIMITED,,XX,0.00,0.01,999999999,ADL,ADL
101000255,255,NSEEQ,EQ,NIRAJ,NIRAJ CEMENT STRUC LTD,,XX,0.00,0.01,1,NIRAJ,NIRAJ
101000263,263,NSEEQ,EQ,ATUL,ATUL LTD,,XX,0.00,0.50,1,ATUL,ATUL
101000264,264,NSEEQ,BL,NIRAJ,NIRAJ CEMENT STRUC LTD,,XX,0.00,0.01,999999999,NIRAJ,NIRAJ
101000270,270,NSEEQ,EQ,CHEMCON,CHEMCON SPECIAL CHEM LTD,,XX,0.00,0.01,1,CHEMCON,CHEMCON
101000275,275,NSEEQ,EQ,AUROPHARMA,AUROBINDO PHARMA LTD,,XX,0.00,0.10,1,AUROPHARMA,AUROPHARMA
101000277,277,NSEEQ,EQ,GICRE,GENERAL INS CORP OF INDIA,,XX,0.00,0.05,1,GICRE,GICRE
101000278,278,NSEEQ,EQ,AUTOAXLES,AUTOMOTIVE AXLES LIMITED,,XX,0.00,0.10,1,AUTOAXLES,AUTOAXLES
101000279,279,NSEEQ,BL,CHEMCON,CHEMCON SPECIAL CHEM LTD,,XX,0.00,0.01,999999999,CHEMCON,CHEMCON
101000286,286,NSEEQ,BL,GICRE,GENERAL INS CORP OF INDIA,,XX,0.00,0.05,999999999,GICRE,GICRE
101000291,291,NSEEQ,SG,69PY29,SDL PY 6.9% 2029,,XX,0.00,0.01,100,69PY29,69PY29
101000294,294,NSEEQ,SG,69AS30A,SDL AS 6.9% 2030,,XX,0.00,0.01,100,69AS30A,69AS30A
101000297,297,NSEEQ,SG,683GJ30,SDL GJ 6.83% 2030,,XX,0.00,0.01,100,683GJ30,683GJ30
101000300,300,NSEEQ,SG,685KA30,SDL KA 6.85% 2030,,XX,0.00,0.01,100,685KA30,685KA30
101000302,302,NSEEQ,SG,685RJ30,SDL RJ 6.85% 2030,,XX,0.00,0.01,100,685RJ30,685RJ30
101000303,303,NSEEQ,SG,689GA30,SDL GA 6.89% 2030,,XX,0.00,0.01,100,689GA30,689GA30
101000305,305,NSEEQ,EQ,BAJAJHLDNG,BAJAJ HOLDINGS & INVS LTD,,XX,0.00,1.00,1,BAJAJHLDNG,BAJAJHLDNG
101000306,306,NSEEQ,SG,69ML30,SDL ML 6.9% 2030,,XX,0.00,0.01,100,69ML30,69ML30
101000307,307,NSEEQ,SG,69UP30,SDL UP 6.9% 2030,,XX,0.00,0.01,100,69UP30,69UP30
101000308,308,NSEEQ,EQ,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,,XX,0.00,0.01,1,BAJAJHIND,BAJAJHIND
101000309,309,NSEEQ,SG,69UK30A,SDL UK 6.9% 2030,,XX,0.00,0.01,100,69UK30A,69UK30A
101000311,311,NSEEQ,SG,697KA31,SDL KA 6.97% 2031,,XX,0.00,0.01,100,697KA31,697KA31
101000312,312,NSEEQ,EQ,TIINDIA,TUBE INVEST OF INDIA LTD,,XX,0.00,0.10,1,TIINDIA,TIINDIA
101000313,313,NSEEQ,SG,71MH32,SDL MH 7.1% 2032,,XX,0.00,0.01,100,71MH32,71MH32
101000314,314,NSEEQ,SG,696JK35,SDL JK 6.96% 2035,,XX,0.00,0.01,100,696JK35,696JK35
101000315,315,NSEEQ,SG,704WB35,SDL WB 7.04% 2035,,XX,0.00,0.01,100,704WB35,704WB35
101000316,316,NSEEQ,SG,705MZ35,SDL MZ 7.05% 2035,,XX,0.00,0.01,100,705MZ35,705MZ35
101000317,317,NSEEQ,EQ,BAJFINANCE,BAJAJ FINANCE LIMITED,,XX,0.00,0.05,1,BAJFINANCE,BAJFINANCE
101000318,318,NSEEQ,SG,70AP39,SDL AP 7.0% 2039,,XX,0.00,0.01,100,70AP39,70AP39
101000319,319,NSEEQ,SG,695PN40,SDL PN 6.95% 2040,,XX,0.00,0.01,100,695PN40,695PN40
101000321,321,NSEEQ,SG,705HR40,SDL HR 7.05% 2040,,XX,0.00,0.01,100,705HR40,705HR40
101000322,322,NSEEQ,SG,694TS50,SDL TS 6.94% 2050,,XX,0.00,0.01,100,694TS50,694TS50
101000324,324,NSEEQ,EQ,ANGELONE,ANGEL ONE LIMITED,,XX,0.00,0.01,1,ANGELONE,ANGELONE
101000328,328,NSEEQ,BL,ANGELONE,ANGEL ONE LIMITED,,XX,0.00,0.01,999999999,ANGELONE,ANGELONE
101000330,330,NSEEQ,EQ,VALIANTORG,VALIANT ORGANICS LIMITED,,XX,0.00,0.01,1,VALIANTORG,VALIANTORG
101000333,333,NSEEQ,BL,VALIANTORG,VALIANT ORGANICS LIMITED,,XX,0.00,0.01,999999999,VALIANTORG,VALIANTORG
101000335,335,NSEEQ,EQ,BALKRISIND,BALKRISHNA IND. LTD,,XX,0.00,0.10,1,BALKRISIND,BALKRISIND
101000337,337,NSEEQ,BL,GOODYEAR,GOODYEAR INDIA LIMITED,,XX,0.00,0.10,999999999,GOODYEAR,GOODYEAR
101000338,338,NSEEQ,EQ,BALMLAWRIE,BALMER LAWRIE & CO LTD,,XX,0.00,0.01,1,BALMLAWRIE,BALMLAWRIE
101000341,341,NSEEQ,EQ,BALRAMCHIN,BALRAMPUR CHINI MILLS LTD,,XX,0.00,0.05,1,BALRAMCHIN,BALRAMCHIN
101000342,342,NSEEQ,EQ,CAMS,COMPUTER AGE MNGT SER LTD,,XX,0.00,0.05,1,CAMS,CAMS
101000343,343,NSEEQ,BL,TIINDIA,TUBE INVEST OF INDIA LTD,,XX,0.00,0.10,999999999,TIINDIA,TIINDIA
101000347,347,NSEEQ,EQ,BANARBEADS,BANARAS BEADS LTD,,XX,0.00,0.01,1,BANARBEADS,BANARBEADS
101000348,348,NSEEQ,BL,CAMS,COMPUTER AGE MNGT SER LTD,,XX,0.00,0.05,999999999,CAMS,CAMS
101000350,350,NSEEQ,EQ,BANARISUG,BANNARI AMMAN SUGARS LTD,,XX,0.00,0.10,1,BANARISUG,BANARISUG
101000357,357,NSEEQ,EQ,NAM-INDIA,NIPPON L I A M LTD,,XX,0.00,0.05,1,NAM-INDIA,NAM-INDIA
101000359,359,NSEEQ,EQ,ROML,RAJ OIL MILLS LIMITED,,XX,0.00,0.01,1,ROML,ROML
101000360,360,NSEEQ,BL,NAM-INDIA,NIPPON L I A M LTD,,XX,0.00,0.05,999999999,NAM-INDIA,NAM-INDIA
101000368,368,NSEEQ,EQ,BASF,BASF INDIA LTD,,XX,0.00,0.10,1,BASF,BASF
101000369,369,NSEEQ,BL,ROML,RAJ OIL MILLS LIMITED,,XX,0.00,0.01,999999999,ROML,ROML
101000371,371,NSEEQ,EQ,BATAINDIA,BATA INDIA LTD,,XX,0.00,0.05,1,BATAINDIA,BATAINDIA
101000380,380,NSEEQ,EQ,BBTC,BOMBAY BURMAH TRADING COR,,XX,0.00,0.10,1,BBTC,BBTC
101000381,381,NSEEQ,EQ,SINTERCOM,SINTERCOM INDIA LIMITED,,XX,0.00,0.01,1,SINTERCOM,SINTERCOM
101000383,383,NSEEQ,EQ,BEL,BHARAT ELECTRONICS LTD,,XX,0.00,0.05,1,BEL,BEL
101000385,385,NSEEQ,EQ,MAHLOG,MAHINDRA LOGISTIC LIMITED,,XX,0.00,0.05,1,MAHLOG,MAHLOG
101000387,387,NSEEQ,BL,SINTERCOM,SINTERCOM INDIA LIMITED,,XX,0.00,0.01,999999999,SINTERCOM,SINTERCOM
101000388,388,NSEEQ,BL,MAHLOG,MAHINDRA LOGISTIC LIMITED,,XX,0.00,0.05,999999999,MAHLOG,MAHLOG
101000393,393,NSEEQ,EQ,GLOBE,GLOBE ENTERPRISE (I) LTD,,XX,0.00,0.01,1,GLOBE,GLOBE
101000395,395,NSEEQ,EQ,BEML,BEML LIMITED,,XX,0.00,0.10,1,BEML,BEML
101000399,399,NSEEQ,EQ,NIACL,THE NEW INDIA ASSU CO LTD,,XX,0.00,0.01,1,NIACL,NIACL
101000401,401,NSEEQ,BL,GLOBE,GLOBE ENTERPRISE (I) LTD,,XX,0.00,0.01,999999999,GLOBE,GLOBE
101000402,402,NSEEQ,BL,NIACL,THE NEW INDIA ASSU CO LTD,,XX,0.00,0.01,999999999,NIACL,NIACL
101000404,404,NSEEQ,EQ,BERGEPAINT,BERGER PAINTS (I) LTD,,XX,0.00,0.05,1,BERGEPAINT,BERGEPAINT
101000419,419,NSEEQ,EQ,BEPL,BHANSALI ENG. POLYMERS LT,,XX,0.00,0.01,1,BEPL,BEPL
101000420,420,NSEEQ,SG,672TN27,SDL TN 6.72% 2027,,XX,0.00,0.01,100,672TN27,672TN27
101000422,422,NSEEQ,EQ,BHARATFORG,BHARAT FORGE LTD,,XX,0.00,0.10,1,BHARATFORG,BHARATFORG
101000425,425,NSEEQ,EQ,KHADIM,KHADIM INDIA LIMITED,,XX,0.00,0.01,1,KHADIM,KHADIM
101000426,426,NSEEQ,EQ,BHARATGEAR,BHARAT GEARS LTD.,,XX,0.00,0.01,1,BHARATGEAR,BHARATGEAR
101000427,427,NSEEQ,SG,681MH28,SDL MH 6.81% 2028,,XX,0.00,0.01,100,681MH28,681MH28
101000428,428,NSEEQ,SG,693JH30,SDL JH 6.93% 2030,,XX,0.00,0.01,100,693JH30,693JH30
101000430,430,NSEEQ,SG,692RJ30,SDL RJ 6.92% 2030,,XX,0.00,0.01,100,692RJ30,692RJ30
101000431,431,NSEEQ,SG,691AS30,SDL AS 6.91% 2030,,XX,0.00,0.01,100,691AS30,691AS30
101000432,432,NSEEQ,BL,KHADIM,KHADIM INDIA LIMITED,,XX,0.00,0.01,999999999,KHADIM,KHADIM
101000436,436,NSEEQ,EQ,IFGLEXPOR,IFGL REFRACTORIES LIMITED,,XX,0.00,0.01,1,IFGLEXPOR,IFGLEXPOR
101000437,437,NSEEQ,SG,691NL30,SDL NL 6.91% 2030,,XX,0.00,0.01,100,691NL30,691NL30
101000438,438,NSEEQ,EQ,BHEL,BHEL,,XX,0.00,0.05,1,BHEL,BHEL
101000439,439,NSEEQ,SG,691UP30A,SDL UP 6.91% 2030,,XX,0.00,0.01,100,691UP30A,691UP30A
101000440,440,NSEEQ,SG,69GA30A,SDL GA 6.9% 2030,,XX,0.00,0.01,100,69GA30A,69GA30A
101000441,441,NSEEQ,BL,IFGLEXPOR,IFGL REFRACTORIES LIMITED,,XX,0.00,0.01,999999999,IFGLEXPOR,IFGLEXPOR
101000445,445,NSEEQ,EQ,5PAISA,5PAISA CAPITAL LIMITED,,XX,0.00,0.05,1,5PAISA,5PAISA
101000446,446,NSEEQ,SG,69HP30,SDL HP 6.9% 2030,,XX,0.00,0.01,100,69HP30,69HP30
101000448,448,NSEEQ,SG,687MH30,SDL MH 6.87% 2030,,XX,0.00,0.01,100,687MH30,687MH30
101000449,449,NSEEQ,SG,686KA30,SDL KA 6.86% 2030,,XX,0.00,0.01,100,686KA30,686KA30
101000450,450,NSEEQ,BL,5PAISA,5PAISA CAPITAL LIMITED,,XX,0.00,0.05,999999999,5PAISA,5PAISA
101000454,454,NSEEQ,SG,684GJ30,SDL GJ 6.84% 2030,,XX,0.00,0.01,100,684GJ30,684GJ30
101000457,457,NSEEQ,SG,715JK32,SDL JK 7.15% 2032,,XX,0.00,0.01,100,715JK32,715JK32
101000460,460,NSEEQ,SG,707MP32,SDL MP 7.07% 2032,,XX,0.00,0.01,100,707MP32,707MP32
101000466,466,NSEEQ,SG,705MH32,SDL MH 7.05% 2032,,XX,0.00,0.01,100,705MH32,705MH32
101000467,467,NSEEQ,EQ,HDFCLIFE,HDFC LIFE INS CO LTD,,XX,0.00,0.05,1,HDFCLIFE,HDFCLIFE
101000468,468,NSEEQ,SG,708KA34,SDL KA 7.08% 2034,,XX,0.00,0.01,100,708KA34,708KA34
101000469,469,NSEEQ,SG,71AP37,SDL AP 7.1% 2037,,XX,0.00,0.01,100,71AP37,71AP37
101000470,470,NSEEQ,BL,HDFCLIFE,HDFC LIFE INS CO LTD,,XX,0.00,0.05,999999999,HDFCLIFE,HDFCLIFE
101000471,471,NSEEQ,EQ,OSWALGREEN,OSWAL GREENTECH LIMITED,,XX,0.00,0.01,1,OSWALGREEN,OSWALGREEN
101000472,472,NSEEQ,SG,709WB40,SDL WB 7.09% 2040,,XX,0.00,0.01,100,709WB40,709WB40
101000474,474,NSEEQ,EQ,3MINDIA,3M INDIA LIMITED,,XX,0.00,5.00,1,3MINDIA,3MINDIA
101000475,475,NSEEQ,SG,703AP40,SDL AP 7.03% 2040,,XX,0.00,0.01,100,703AP40,703AP40
101000477,477,NSEEQ,EQ,BIRLACABLE,BIRLA CABLE LIMITED,,XX,0.00,0.01,1,BIRLACABLE,BIRLACABLE
101000480,480,NSEEQ,EQ,BIRLACORPN,BIRLA CORPORATION LTD,,XX,0.00,0.10,1,BIRLACORPN,BIRLACORPN
101000482,482,NSEEQ,SM,AISL,ANI INTEGRATED SERV LTD.,,XX,0.00,0.05,600,AISL,AISL
101000489,489,NSEEQ,EQ,ICEMAKE,ICE MAKE REFRIGERAT LTD,,XX,0.00,0.05,1,ICEMAKE,ICEMAKE
101000495,495,NSEEQ,EQ,BLUEDART,BLUE DART EXPRESS LTD,,XX,0.00,0.50,1,BLUEDART,BLUEDART
101000498,498,NSEEQ,YI,903SFL28,SEC RED NCD 9.03% SR. II,,XX,0.00,0.01,1,903SFL28,903SFL28
101000502,502,NSEEQ,BL,ICEMAKE,ICE MAKE REFRIGERAT LTD,,XX,0.00,0.05,999999999,ICEMAKE,ICEMAKE
101000507,507,NSEEQ,SM,PULZ,PULZ ELECTRONICS LIMITED,,XX,0.00,0.05,2000,PULZ,PULZ
101000509,509,NSEEQ,EQ,MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,,XX,0.00,0.10,1,MAZDOCK,MAZDOCK
101000513,513,NSEEQ,EQ,BOMDYEING,BOMBAY DYEING & MFG. CO L,,XX,0.00,0.01,1,BOMDYEING,BOMDYEING
101000521,521,NSEEQ,BL,MAZDOCK,MAZAGON DOCK SHIPBUIL LTD,,XX,0.00,0.10,999999999,MAZDOCK,MAZDOCK
101000522,522,NSEEQ,EQ,ICICIB22,ICICIPRAMC - BHARATIWIN,,XX,0.00,0.01,1,ICICIB22,ICICIB22
101000525,525,NSEEQ,BL,ICICIB22,ICICIPRAMC - BHARATIWIN,,XX,0.00,0.01,999999999,ICICIB22,ICICIB22
101000526,526,NSEEQ,EQ,BPCL,BHARAT PETROLEUM CORP  LT,,XX,0.00,0.05,1,BPCL,BPCL
101000527,527,NSEEQ,EQ,UTIAMC,UTI ASSET MNGMT CO LTD,,XX,0.00,0.05,1,UTIAMC,UTIAMC
101000530,530,NSEEQ,EQ,BPL,BPL LTD,,XX,0.00,0.01,1,BPL,BPL
101000547,547,NSEEQ,EQ,BRITANNIA,BRITANNIA INDUSTRIES LTD,,XX,0.00,0.50,1,BRITANNIA,BRITANNIA
101000554,554,NSEEQ,BL,UTIAMC,UTI ASSET MNGMT CO LTD,,XX,0.00,0.05,999999999,UTIAMC,UTIAMC
101000559,559,NSEEQ,EQ,BSL,BSL LTD,,XX,0.00,0.01,1,BSL,BSL
101000573,573,NSEEQ,SM,FELIX,FELIX INDUSTRIES LTD.,,XX,0.00,0.05,500,FELIX,FELIX
101000578,578,NSEEQ,EQ,LIKHITHA,LIKHITHA INFRASTRUC LTD,,XX,0.00,0.01,1,LIKHITHA,LIKHITHA
101000582,582,NSEEQ,BL,LIKHITHA,LIKHITHA INFRASTRUC LTD,,XX,0.00,0.01,999999999,LIKHITHA,LIKHITHA
101000583,583,NSEEQ,EQ,CANFINHOME,CAN FIN HOMES LTD,,XX,0.00,0.05,1,CANFINHOME,CANFINHOME
101000590,590,NSEEQ,SG,669PN30,SDL PN 6.69% 2030,,XX,0.00,0.01,100,669PN30,669PN30
